Car Title,Price,Marca,Modelo,Año,Versión,Color,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Kilómetros,Control de tracción,Capacidad de personas,Potencia,Medidas,Distancia entre ejes,Capacidad del tanque,Válvulas por cilindro,Frenos ABS,Airbag para conductor y pasajero,Tracción ASR,AM/FM,Android auto,Apple CarPlay,Aire acondicionado,Computadora de abordo,Sensor de lluvia,Porta vasos,Dirección,Alarma,Largo x Altura x Ancho,Llantas de aleación,Reproductor de MP3,Con cámara de retroceso,Techo solar eléctrico retráctil,Soporte para rueda de auxilio,Limpia/lava luneta,Porta equipaje en techo,Entrada auxiliar,Bluetooth,CD,DVD,Entrada USB,Piloto automático,Alarma de luces encendidas,Cristales eléctricos,Apertura remota de baúl,Comando remoto para radio en el volante,Climatizador,Cierre automático de vidrios,Defensa delantera,Airbag conductor,Faros con regulación automática,Sensor de estacionamiento,Faros antinieblas traseros,Desempañador trasero,Control de estabilidad,Tercera luz de freno led,Cierre centralizado de puertas,Blindado,Tapizado de cuero,Con garantía de fábrica,Con garantía mecánica,Único dueño,Con precio negociable,Acepta permuta,Tipo de batería,Capacidad de la batería,Tiempo de carga,Tipo de cargador,Autonomia de la batería,Con modo Eco,Asientos delanteros calefaccionados,Con sensor de cambio de carril,Con sensor de estacionamiento por cámara delantera,Con sensor de estacionamiento por cámara trasera,Con sistema de estacionamiento automático,Sistema ISOFIX,Aviso de punto ciego,Inspección vehicular,Largo x Altura,Entrada internacional legalizada,Con impacto positivo,,Baúl
Peugeot 2008 1.0T Active,22.000.000,Peugeot,2008,2024,1.0T Active,Blanco,Nafta,5,Automática,1.0,SUV,11111 km,Delantera,5,120 hp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiat Pulse 1.0 Impetus T3 Cvt,14.500.000,Fiat,Pulse,2024,1.0 Impetus T3 Cvt,Gris,Nafta,5,Automática,1.0,SUV,0 km,4x2,5,120 hp,,2532 mm,47 L,4,Sí,Sí,Sí,Sí,,,Sí,Sí,,Sí,Eléctrica,,4099 mm x 1547 mm x 1989 mm,,Sí,,,,,,,,,,,Sí,,,,Sí,,,,,Sí,Sí,,,,,,,Sí,,,,,,,,,,,,,,,,,,,,,,,,
Fiat Pulse 1.3 Drive Gse Mt,12.000.000,Fiat,Pulse,2023,1.3 Drive Gse Mt,Azul,Nafta,5,Manual,1.3,SUV,0 km,4x2,5,99 hp,,2532 mm,47 L,2,Sí,Sí,Sí,Sí,,,Sí,Sí,,Sí,Eléctrica,,4099 mm x 1547 mm x 1989 mm,,Sí,,,,,,,,,,,Sí,,,,Sí,,,,,Sí,Sí,,,,,,,Sí,,,,,,,,,,,,,,,,,,,,,,,,
Fiat Mobi 1.0 Trekking,9.800.000,Fiat,Mobi,2024,1.0 Trekking,Plateado,Nafta,5,Manual,1.0,Hatchback,0 km,Delantera,5,70 hp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ford Focus III 2.0 Se At6,21.450.000,Ford,Focus III,2019,2.0 Se At6,Gris,Nafta,5,Automática,2.0,Hatchback,65000 km,Delantera,5,170 hp,,2630 mm,55 L,4,Sí,Sí,Sí,,,,,Sí,,,Eléctrica,Sí,4412 mm x 1484 mm x 1742 mm,Sí,,,,,,,,,,,,Sí,,,,Sí,,,,,,,,,Sí,,,,Sí,,,,,,,,,,,,,,,,,,,,,,,,
Fiat Fiorino 1.4 Fire Evo 87cv,9.500.000,Fiat,Fiorino,2024,1.4 Fire Evo 87cv,Blanco,Nafta,3,Manual,1.4,Furgón,0 km,Delantera,2,87 hp,,2699 mm,64 L,2,Sí,Sí,Sí,Sí,,,Sí,,,,Hidráulica,,4184 mm x 1873 mm x 1780 mm,,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiat Strada 1.3 Volcano,21.000.000,Fiat,Strada,2024,1.3 Volcano,Blanco,Nafta,3,Manual,1.3,Pick-Up,0 km,Delantera,5,99 hp,,2737 mm,55 L,2,Sí,Sí,Sí,Sí,,,Sí,Sí,,,Hidráulica,,4480 mm x 1554 mm x 1950 mm,,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiat Cronos 1.3 Drive Mt,12.000.000,Fiat,Cronos,2024,1.3 Drive Mt,Plateado,Nafta,4,Manual,1.3,Sedán,0 km,Delantera,5,99 hp,,2521 mm,48 L,2,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Eléctrica,Sí,4364 mm x 1508 mm x 1724 mm,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renault Logan 1.6 16v Zen,19.000.000,Renault,Logan,2022,1.6 16v Zen,Plateado,Nafta,4,Manual,1.6,Sedán,0 km,Delantera,5,115 hp,,2635 mm,50 L,4,,Sí,Sí,,,,,Sí,,,Hidráulica,,4350 mm x 1529 mm x 1733 mm,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renault Logan 1.6 16v Intense,22.950.000,Renault,Logan,2024,1.6 16v Intense,Blanco,Nafta,4,Manual,1.6,Sedán,0 km,Delantera,5,115 hp,,2635 mm,50 L,4,,Sí,Sí,,,,,Sí,,,Hidráulica,,4350 mm x 1529 mm x 1733 mm,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiat Cronos 1.3 Gse Drive Cvt Pack Plus,17.000.000,Fiat,Cronos,2024,1.3 Gse Drive Cvt Pack Plus,Plateado,Nafta,4,Automática,1.3,Sedán,0 km,Delantera,5,99 hp,,2521 mm,48 L,2,,,,,,,,,,,,,4364 mm x 1515 mm x 1962 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiat FASTBACK 1.3 T270 At6,32.000.000,Fiat,FASTBACK,2024,1.3 T270 At6,Gris,Nafta,5,Automática,1.3,SUV,1000 km,Delantera,5,175 hp,,2533 mm,47 L,4,,,,,,,,,,,,,4427 mm x 1547 mm x 1990 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiat Pulse 1.3 Abarth Gse At,14.258.560,Fiat,Pulse,2024,1.3 Abarth Gse At,Negro,Nafta,5,Automática,1.3,SUV,0 km,Delantera,5,175 hp,,,47 L,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiat Strada 1.4 8v Freedom Cd,13.000.000,Fiat,Strada,2024,1.4 8v Freedom Cd,Negro,Nafta,3,Manual,1.4,Pick-Up,1000 km,Delantera,5,85 hp,,2737 mm,55 L,2,Sí,Sí,Sí,Sí,,,Sí,Sí,,,Hidráulica,,4474 mm x 1554 mm x 1950 mm,,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiat FASTBACK 1.3 T270 At6,9.654.172,Fiat,FASTBACK,2024,1.3 T270 At6,Negro,Nafta,5,Automática,1.3,SUV,0 km,Delantera,5,175 hp,,2533 mm,47 L,4,,,,,,,,,,,,,4427 mm x 1547 mm x 1990 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiat Mobi 1.0 Trekking,5.428.658,Fiat,Mobi,2024,1.0 Trekking,Plateado,Nafta,5,Manual,1.0,Hatchback,0 km,Delantera,5,70 hp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiat FASTBACK 1.3 T270 At6,12.080.000,Fiat,FASTBACK,2024,1.3 T270 At6,Negro,Nafta,5,Automática,1.3,SUV,0 km,Delantera,5,175 hp,,2533 mm,47 L,4,,,,,,,,,,,,,4427 mm x 1547 mm x 1990 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiat Strada 1.4 8v Freedom Cd,23.000.000,Fiat,Strada,2024,1.4 8v Freedom Cd,Negro,Nafta,3,Manual,1.4,Pick-Up,0 km,Delantera,5,85 hp,,2737 mm,55 L,2,Sí,Sí,Sí,Sí,,,Sí,Sí,,,Hidráulica,,4474 mm x 1554 mm x 1950 mm,,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiat FASTBACK 1.3 T270 At6,32.000.000,Fiat,FASTBACK,2024,1.3 T270 At6,Gris,Nafta,5,Automática,1.3,SUV,0 km,Delantera,5,175 hp,,2533 mm,47 L,4,,,,,,,,,,,,,4427 mm x 1547 mm x 1990 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiat Strada 1.4 8v Freedom Cd,23.000.000,Fiat,Strada,2024,1.4 8v Freedom Cd,Rojo,Nafta,3,Manual,1.4,Pick-Up,0 km,Delantera,5,85 hp,,2737 mm,55 L,2,Sí,Sí,Sí,Sí,,,Sí,Sí,,,Hidráulica,,4474 mm x 1554 mm x 1950 mm,,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sí,Sí,,Sí,Sí,,,,,,,,,,,,,,,,,,,
Fiat Toro 1.3 270 Firefly Turbo Volcano 4x2 At,29.000.000,Fiat,Toro,2024,1.3 270 Firefly Turbo Volcano 4x2 At,Blanco,Nafta,4,Automática,1.3,Pick-Up,0 km,4x2,5,175 hp,,2990 mm,60 L,4,Sí,Sí,Sí,,,,,,,,,,4945 mm x 1735 mm x 1845 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sí,Sí,,Sí,Sí,,,,,,,,,,,,,,,,,,,
Fiat Mobi 1.0 Trekking,18.500.000,Fiat,Mobi,2024,1.0 Trekking,Plateado,Nafta,5,Manual,1.0,Hatchback,0 km,Delantera,5,70 hp,,,,,,,,,,,,Sí,,,,,,,,,,,,,,,,,,,Sí,,,,,,,,,,,,,,,,,Sí,Sí,,Sí,Sí,,,,,,,,,,,,,,,,,,,
Fiat Strada 1.3 Ranch Cvt Cd,19.000.000,Fiat,Strada,2024,1.3 Ranch Cvt Cd,Blanco,Nafta,4,Automática,1.3,Pick-Up,0 km,Delantera,5,99 hp,,2737 mm,55 L,4,,,,,,,,,,,,,4480 mm x 1554 mm x 1781 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiat FASTBACK 1.3 T270 At6,18.000.000,Fiat,FASTBACK,2024,1.3 T270 At6,Negro,Nafta,5,Automática,1.3,SUV,0 km,Delantera,5,175 hp,,2533 mm,47 L,4,,,,,,,,,,,,,4427 mm x 1547 mm x 1990 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiat Strada 1.3 Volcano,13.000.000,Fiat,Strada,2024,1.3 Volcano,Blanco,Nafta,3,Manual,1.3,Pick-Up,0 km,Delantera,5,99 hp,,2737 mm,55 L,2,Sí,Sí,Sí,Sí,,,Sí,Sí,,,Hidráulica,,4480 mm x 1554 mm x 1950 mm,,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiat Cronos 1.3 Precision Cvt,10.000.000,Fiat,Cronos,2024,1.3 Precision Cvt,Negro,Nafta,4,Automática,1.3,Sedán,700 km,Delantera,5,99 hp,,2521 mm,48 L,2,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Eléctrica,Sí,4364 mm x 1508 mm x 1724 mm,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiat Pulse 1.3 Drive Gse Cvt,13.000.000,Fiat,Pulse,2024,1.3 Drive Gse Cvt,Blanco,Nafta,5,Automática,1.3,SUV,800 km,4x2,5,99 hp,,2532 mm,47 L,2,Sí,Sí,Sí,Sí,,,Sí,Sí,,Sí,Eléctrica,,4099 mm x 1547 mm x 1989 mm,,Sí,,,,,,,,,,,Sí,,,,Sí,,,,,Sí,Sí,,,,,,,Sí,,,,,,,,,,,,,,,,,,,,,,,,
Fiat Cronos 1.3 Drive Mt,23.300.000,Fiat,Cronos,2024,1.3 Drive Mt,Gris,Nafta,4,Manual,1.3,Sedán,0 km,Delantera,5,99 hp,,2521 mm,48 L,2,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Eléctrica,Sí,4364 mm x 1508 mm x 1724 mm,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiat Mobi 1.0 Trekking,3.800,Fiat,Mobi,2024,1.0 Trekking,Plateado,Nafta,5,Manual,1.0,Hatchback,500 km,Delantera,5,70 hp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiat FASTBACK 1.3 T270 At6,17.800.000,Fiat,FASTBACK,2024,1.3 T270 At6,Celeste,Nafta,5,Automática,1.3,SUV,0 km,Delantera,5,175 hp,,2533 mm,47 L,4,,,,,,,,,,,,,4427 mm x 1547 mm x 1990 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiat Strada 1.4 8v Freedom Cd,13.000.000,Fiat,Strada,2023,1.4 8v Freedom Cd,Plateado,Nafta,3,Manual,1.4,Pick-Up,666 km,Delantera,5,85 hp,,2737 mm,55 L,2,Sí,Sí,Sí,Sí,,,Sí,Sí,,,Hidráulica,,4474 mm x 1554 mm x 1950 mm,,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiat FASTBACK 1.3 T270 At6,33.000.000,Fiat,FASTBACK,2024,1.3 T270 At6,Rojo,Nafta,5,Automática,1.3,SUV,0 km,Delantera,5,175 hp,,2533 mm,47 L,4,,,,,,,,,,,,,4427 mm x 1547 mm x 1990 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiat Mobi 1.0 Trekking,24.999.999,Fiat,Mobi,2024,1.0 Trekking,Negro,Nafta,5,Manual,1.0,Hatchback,0 km,Delantera,5,70 hp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiat Cronos 1.3 Drive Mt,11.000.000,Fiat,Cronos,2023,1.3 Drive Mt,Blanco,Nafta,4,Manual,1.3,Sedán,0 km,Delantera,5,99 hp,,2521 mm,48 L,2,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Eléctrica,Sí,4364 mm x 1508 mm x 1724 mm,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiat Toro 1.8 Freedom,13.000.000,Fiat,Toro,2023,1.8 Freedom,Gris,Nafta,4,Automática,1.8,Pick-Up,500 km,4x2,5,130 hp,,2990 mm,60 L,4,Sí,Sí,Sí,,,,,,,,,,4915 mm x 1690 mm x 1669 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renault Logan 1.6 16v Intense,18.812.508,Renault,Logan,2024,1.6 16v Intense,Blanco,Nafta,4,Manual,1.6,Sedán,0 km,Delantera,5,115 hp,,2635 mm,50 L,4,,Sí,Sí,,,,,Sí,,,Hidráulica,,4350 mm x 1529 mm x 1733 mm,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiat Pulse 1.0 Impetus T3 Cvt,19.980.000,Fiat,Pulse,2024,1.0 Impetus T3 Cvt,Gris,Nafta,5,Automática,1.0,SUV,0 km,4x2,5,120 hp,,2532 mm,47 L,4,Sí,Sí,Sí,Sí,,,Sí,Sí,Sí,Sí,Eléctrica,Sí,4099 mm x 1547 mm x 1989 mm,Sí,Sí,Sí,,Sí,Sí,Sí,Sí,Sí,,,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,,Sí,Sí,,,,,,,,,,,,,,,,,,,
Fiat Pulse 1.3 Abarth Gse At,39.500.000,Fiat,Pulse,2024,1.3 Abarth Gse At,Gris,Nafta,5,Automática,1.3,SUV,0 km,Delantera,5,175 hp,,,47 L,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiat Toro 2.0 350 Multijet Volcano 4x4 At,15.000,Fiat,Toro,2024,2.0 350 Multijet Volcano 4x4 At,Plateado,Diésel,4,Automática,2.0,Pick-Up,1200 km,4x4,5,170 hp,,2990 mm,60 L,4,Sí,Sí,Sí,,,,,,,,,,4945 mm x 1735 mm x 2033 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiat Toro 2.0 350 Multijet Volcano 4x4 At,12.000,Fiat,Toro,2024,2.0 350 Multijet Volcano 4x4 At,Negro,Diésel,4,Automática,2.0,Pick-Up,1000 km,4x4,5,170 hp,,2990 mm,60 L,4,Sí,Sí,Sí,,,,,,,,,,4945 mm x 1735 mm x 2033 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiat Cronos 1.3 Drive Mt,5.000,Fiat,Cronos,2024,1.3 Drive Mt,Blanco,Nafta,4,Manual,1.3,Sedán,500 km,Delantera,5,99 hp,,2521 mm,48 L,2,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Eléctrica,Sí,4364 mm x 1508 mm x 1724 mm,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiat Toro 1.3 270 Firefly Turbo Volcano 4x2 At,11.000,Fiat,Toro,2024,1.3 270 Firefly Turbo Volcano 4x2 At,Negro,Nafta,4,Automática,1.3,Pick-Up,1000 km,4x2,5,175 hp,,2990 mm,60 L,4,Sí,Sí,Sí,,,,,,,,,,4945 mm x 1735 mm x 1845 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiat Toro 1.8 Freedom,6.950,Fiat,Toro,2024,1.8 Freedom,Plateado,Nafta,4,Automática,1.8,Pick-Up,1000 km,4x2,5,130 hp,,2990 mm,60 L,4,Sí,Sí,Sí,,,,,,,,,,4915 mm x 1690 mm x 1669 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiat Toro 1.3 270 Firefly Turbo Volcano 4x2 At,6.900,Fiat,Toro,2024,1.3 270 Firefly Turbo Volcano 4x2 At,Negro,Nafta,4,Automática,1.3,Pick-Up,1111 km,4x2,5,175 hp,,2990 mm,60 L,4,Sí,Sí,Sí,,,,,,,,,,4945 mm x 1735 mm x 1845 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiat Toro 1.8 170 E-torq Evo Freedom At6,12.600.000,Fiat,Toro,2024,1.8 170 E-torq Evo Freedom At6,Plateado,Nafta,4,Automática,1.8,Pick-Up,1111 km,4x2,5,130 hp,,2990 mm,60 L,4,Sí,Sí,Sí,,,,,,,,,,4945 mm x 1735 mm x 1845 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nissan Kicks 1.6 Sense 120cv,23.000.000,Nissan,Kicks,2020,1.6 Sense 120cv,Gris,Nafta,5,Manual,1.6,Hatchback,68493 km,Delantera,5,120 hp,,2610 mm,41 L,4,Sí,Sí,Sí,,,,,,,,,,4295 mm x 1590 mm x 1760 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeep Compass 2.4 Sport,30.000.000,Jeep,Compass,2018,2.4 Sport,Gris,Nafta,5,Manual,2.4,SUV,27000 km,4x2,5,174 hp,,2636 mm,52 L,4,Sí,Sí,Sí,,,,,,,,,,4394 mm x 1635 mm x 2033 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chevrolet Cruze II 1.4 Ltz Plus 153cv,20.400.000,Chevrolet,Cruze II,2018,1.4 Ltz Plus 153cv,Verde,Nafta,5,Automática,1.4,Hatchback,127000 km,Delantera,5,153 hp,,2467 mm,60 L,4,Sí,Sí,Sí,,,,Sí,,,Sí,Asistida,Sí,4510 mm x 1477 mm x 1677 mm,Sí,,,,,,,,Sí,Sí,,Sí,Sí,,,,,,,,,Sí,,,,Sí,Sí,,,Sí,,,,,,,,,,,,,,,,,,,,,,,,
Fiat Cronos 1.3 Gse Drive Pack Conectividad,22.000.000,Fiat,Cronos,2024,1.3 Gse Drive Pack Conectividad,Blanco,Nafta,4,Manual,1.3,Sedán,0 km,Delantera,5,99 hp,,2521 mm,48 L,2,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,Sí,Eléctrica,Sí,4364 mm x 1508 mm x 1724 mm,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Volkswagen Polo 1.6 Msi Trendline,21.900.000,Volkswagen,Polo,2022,1.6 Msi Trendline,Gris,Nafta,5,Manual,1.6,Hatchback,21000 km,Delantera,5,110 hp,,2552 mm,50 L,4,Sí,Sí,Sí,,,,,,,Sí,Hidráulica,Sí,4384 mm x 1465 mm x 1699 mm,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ford Focus III 1.6 S,13.500.000,Ford,Focus III,2014,1.6 S,Negro,Nafta,5,Manual,1.6,Hatchback,62000 km,Delantera,5,125 hp,,2748 mm,55 L,4,Sí,Sí,Sí,,,,,Sí,,Sí,Asistida,Sí,4412 mm x 1484 mm x 1774 mm,,Sí,,,,,Sí,,,,,,,,,,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peugeot 3008 2.0 Gt-line Hdi Tiptronic,36.300.000,Peugeot,3008,2018,2.0 Gt-line Hdi Tiptronic,Azul,Diésel,5,Automática,2.0,SUV,103000 km,Delantera,5,150 hp,,2675 mm,53 L,4,Sí,Sí,Sí,,,,,Sí,,,Eléctrica,Sí,4447 mm x 1629 mm x 2098 mm,Sí,Sí,,Sí,,,,,,,,,Sí,,,,Sí,,,,,,Sí,,,Sí,,,,Sí,,,,,,,,,,,,,,,,,,,,,,,,
Renault Clio 1.2 Mio Confort Plus Abc,9.500.000,Renault,Clio,2014,1.2 Mio Confort Plus Abc,Gris,Nafta,5,Manual,1.2,Hatchback,120000 km,Delantera,5,75 hp,,2472 mm,50 L,4,,Sí,,,,,,,,Sí,Hidráulica,,3813 mm x 1417 mm x 1639 mm,,,,,,,,,,,,,,,,,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiat Cronos 1.3 Gse Drive Cvt Pack Plus,9.500.000,Fiat,Cronos,2024,1.3 Gse Drive Cvt Pack Plus,Gris,Nafta,4,Automática,1.3,Sedán,0 km,Delantera,5,99 hp,,2521 mm,48 L,2,,,,,,,,,,,,,4364 mm x 1515 mm x 1962 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiat Cronos 1.3 Drive Mt,12.000.000,Fiat,Cronos,2024,1.3 Drive Mt,Blanco,Nafta,4,Manual,1.3,Sedán,0 km,Delantera,5,99 hp,,2521 mm,48 L,2,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Eléctrica,Sí,4364 mm x 1508 mm x 1724 mm,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiat Cronos 1.3 Gse Drive Cvt Pack Plus,12.000.000,Fiat,Cronos,2024,1.3 Gse Drive Cvt Pack Plus,Rojo,Nafta,4,Automática,1.3,Sedán,0 km,Delantera,5,99 hp,,2521 mm,48 L,2,,,,,,,,,,,,,4364 mm x 1515 mm x 1962 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiat Cronos 1.3 Precision Cvt,26.430.000,Fiat,Cronos,2024,1.3 Precision Cvt,Gris,Nafta,4,Automática,1.3,Sedán,0 km,Delantera,5,99 hp,,2521 mm,48 L,2,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Eléctrica,Sí,4364 mm x 1508 mm x 1724 mm,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peugeot 208 1.6 Allure Nav Tiptronic,14.999.999,Peugeot,208,2017,1.6 Allure Nav Tiptronic,Blanco,Nafta,5,Automática,1.6,Hatchback,92000 km,Delantera,5,115 hp,,2541 mm,55 L,4,Sí,Sí,Sí,,,,Sí,Sí,,Sí,Hidráulica,,3872 mm x 1470 mm x 1702 mm,Sí,Sí,,,,,,,,,,,,,,,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiat Cronos 1.3 Drive Mt,4.000,Fiat,Cronos,2024,1.3 Drive Mt,Negro,Nafta,4,Manual,1.3,Sedán,500 km,Delantera,5,99 hp,,2521 mm,48 L,2,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Eléctrica,Sí,4364 mm x 1508 mm x 1724 mm,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiat Cronos 1.3 Drive Mt,5.000,Fiat,Cronos,2024,1.3 Drive Mt,Rojo,Nafta,4,Manual,1.3,Sedán,500 km,Delantera,5,99 hp,,2521 mm,48 L,2,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Eléctrica,Sí,4364 mm x 1508 mm x 1724 mm,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toyota Etios 1.5 Sedan X,13.584.000,Toyota,Etios,2022,1.5 Sedan X,Gris,Nafta,4,Manual,1.5,Sedán,39500 km,Delantera,5,103 hp,,2460 mm,45 L,4,Sí,Sí,Sí,,,,,,,,Eléctrica,,4265 mm x 1510 mm x 1695 mm,,Sí,,,,,,,,,,,,,,,,,,,,,,,,,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiat Fiorino 1.4 Fire Evo 87cv,19.500.000,Fiat,Fiorino,2024,1.4 Fire Evo 87cv,Blanco,Nafta,3,Manual,1.4,Furgón,0 km,Delantera,2,87 hp,,2699 mm,64 L,2,Sí,Sí,Sí,Sí,,,Sí,,,,Hidráulica,,4184 mm x 1873 mm x 1780 mm,,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
